"","STNID","NAME","CTRY","COUNTRY_NAME","ISO2C","ISO3C","STATE","LATITUDE","LONGITUDE","ELEVATION","BEGIN","END","YEARMODA","YEAR","MONTH","DAY","YDAY","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","I_FOG","I_RAIN_DRIZZLE","I_SNOW_ICE","I_HAIL","I_THUNDER","I_TORNADO_FUNNEL","EA","ES","RH"
"2848","064580-99999","BEAUVECHAIN","BE","BELGIUM","BE","BEL","",50.759,4.768,112.77,19730101,20240909,2007-10-19,2007,10,19,292,8.4,23,5.1,23,1034.2,23,1018.5,23,17.7,23,1.7,23,4,NA,11.3,NA,5.6,"*",0,"I",NA,0,0,0,0,0,0,0.9,1.1,79.7
"2849","064580-99999","BEAUVECHAIN","BE","BELGIUM","BE","BEL","",50.759,4.768,112.77,19730101,20240909,2007-10-20,2007,10,20,293,6.6,17,1.9,17,1036.4,17,1020.6,17,21.4,17,1.6,17,3,NA,9.9,"*",2.3,"*",0,"I",NA,0,0,0,0,0,0,0.7,1,71.9
"2850","064580-99999","BEAUVECHAIN","BE","BELGIUM","BE","BEL","",50.759,4.768,112.77,19730101,20240909,2007-10-21,2007,10,21,294,7.9,18,4.8,18,1029.7,18,1014.1,18,12.1,18,2.3,18,3.1,NA,10.9,NA,2.4,NA,NA,NA,NA,0,1,0,0,0,0,0.9,1.1,80.8
"2851","064580-99999","BEAUVECHAIN","BE","BELGIUM","BE","BEL","",50.759,4.768,112.77,19730101,20240909,2007-10-22,2007,10,22,295,5.9,24,3.1,24,1026.9,24,1011.2,24,8.9,24,2.5,24,4.1,NA,9.7,NA,2,"*",0.51,"E",NA,1,0,0,0,0,0,0.8,0.9,82.2
"2852","064580-99999","BEAUVECHAIN","BE","BELGIUM","BE","BEL","",50.759,4.768,112.77,19730101,20240909,2007-10-23,2007,10,23,296,3.4,24,0.4,24,1025.6,23,1009.8,23,8.9,24,3.5,24,6.2,NA,8.6,NA,-1,"*",0,"I",NA,0,0,0,0,0,0,0.6,0.8,80.7
"2853","064580-99999","BEAUVECHAIN","BE","BELGIUM","BE","BEL","",50.759,4.768,112.77,19730101,20240909,2007-10-24,2007,10,24,297,5.2,24,3,24,1024.5,24,1008.8,24,6.3,24,4.3,24,7,NA,9,"*",0.4,NA,0,"I",NA,0,0,0,0,0,0,0.8,0.9,85.7
"2854","064580-99999","BEAUVECHAIN","BE","BELGIUM","BE","BEL","",50.759,4.768,112.77,19730101,20240909,2007-10-25,2007,10,25,298,7.7,24,5.4,24,1023.4,24,1007.9,24,4.7,24,3.5,24,5,NA,9.1,NA,6,"*",0,"I",NA,0,0,0,0,0,0,0.9,1,85.4
"2855","064580-99999","BEAUVECHAIN","BE","BELGIUM","BE","BEL","",50.759,4.768,112.77,19730101,20240909,2007-10-26,2007,10,26,299,7.9,24,5.2,24,1022.4,24,1006.9,24,6.4,24,2.2,24,4,NA,9.1,NA,7,"*",0,"I",NA,0,0,0,0,0,0,0.9,1.1,83.1
"2856","064580-99999","BEAUVECHAIN","BE","BELGIUM","BE","BEL","",50.759,4.768,112.77,19730101,20240909,2007-10-27,2007,10,27,300,8.2,18,4.8,18,1028,18,1012.5,18,6.4,18,2.5,18,6,NA,9.3,"*",7.1,NA,0,"I",NA,0,0,0,0,0,0,0.9,1.1,79.1
"2857","064580-99999","BEAUVECHAIN","BE","BELGIUM","BE","BEL","",50.759,4.768,112.77,19730101,20240909,2007-10-29,2007,10,29,302,8.8,20,7.7,20,1013.1,20,997.8,20,3.7,20,3.7,20,6,NA,9.8,NA,7.7,NA,16,"F",NA,0,1,0,0,0,0,1,1.1,92.8
"2858","064580-99999","BEAUVECHAIN","BE","BELGIUM","BE","BEL","",50.759,4.768,112.77,19730101,20240909,2007-10-30,2007,10,30,303,8.2,16,6.5,16,1018.7,16,1003.3,16,14.8,16,2.7,16,5,NA,11.9,NA,6.7,NA,8.13,"F",NA,0,1,0,0,0,0,1,1.1,89
"2859","064580-99999","BEAUVECHAIN","BE","BELGIUM","BE","BEL","",50.759,4.768,112.77,19730101,20240909,2007-10-31,2007,10,31,304,8.9,9,5.1,9,1029.8,9,1014.2,9,9,9,2.3,9,3,NA,13,"*",4.5,NA,0,"I",NA,0,0,0,0,0,0,0.9,1.1,77.1
"2860","064580-99999","BEAUVECHAIN","BE","BELGIUM","BE","BEL","",50.759,4.768,112.77,19730101,20240909,2007-11-01,2007,11,1,305,10.7,10,9.2,10,1032.8,10,1017.3,10,4,10,1.9,10,3,NA,13.4,NA,8.2,"*",0,"I",NA,0,0,0,0,0,0,1.2,1.3,90.4
"2861","064580-99999","BEAUVECHAIN","BE","BELGIUM","BE","BEL","",50.759,4.768,112.77,19730101,20240909,2007-11-02,2007,11,2,306,11.6,23,10.4,23,1033,23,1017.6,23,2.6,23,1.9,23,3.1,NA,13.4,NA,10,NA,0,"I",NA,1,0,0,0,0,0,1.3,1.4,92.3
"2862","064580-99999","BEAUVECHAIN","BE","BELGIUM","BE","BEL","",50.759,4.768,112.77,19730101,20240909,2007-11-03,2007,11,3,307,12.1,24,10.9,24,1029.6,24,1014.2,24,4.2,24,1.9,24,3,NA,13.2,NA,9.8,"*",0,"E",NA,1,1,0,0,0,0,1.3,1.4,92.4
"2863","064580-99999","BEAUVECHAIN","BE","BELGIUM","BE","BEL","",50.759,4.768,112.77,19730101,20240909,2007-11-04,2007,11,4,308,9.4,24,6.8,24,1028.9,24,1013.4,24,19.3,24,1.1,24,3,NA,11.3,NA,8,NA,0,"I",NA,1,0,0,0,0,0,1,1.2,83.8
"2864","064580-99999","BEAUVECHAIN","BE","BELGIUM","BE","BEL","",50.759,4.768,112.77,19730101,20240909,2007-11-05,2007,11,5,309,9.4,24,6.3,24,1027.3,24,1011.8,24,10.1,24,2.9,24,7.2,NA,11.1,NA,7.8,NA,NA,NA,NA,0,1,0,0,0,0,1,1.2,81
"2865","064580-99999","BEAUVECHAIN","BE","BELGIUM","BE","BEL","",50.759,4.768,112.77,19730101,20240909,2007-11-06,2007,11,6,310,8.1,24,6,24,1028.3,23,1012.7,23,9,24,3.7,24,6.7,NA,10.1,NA,6.8,"*",2.54,"F",NA,0,1,0,0,0,0,0.9,1.1,86.6
"2866","064580-99999","BEAUVECHAIN","BE","BELGIUM","BE","BEL","",50.759,4.768,112.77,19730101,20240909,2007-11-07,2007,11,7,311,8.7,24,5.6,24,1024.1,24,1008.6,24,14.5,24,5.6,24,8.2,10.8,10.4,NA,6.5,NA,0,"F",NA,0,1,1,0,0,0,0.9,1.1,80.9
"2867","064580-99999","BEAUVECHAIN","BE","BELGIUM","BE","BEL","",50.759,4.768,112.77,19730101,20240909,2007-11-08,2007,11,8,312,9.4,24,7.7,24,1016,24,1000.7,24,10.9,24,5.4,24,9.8,15.4,11.3,NA,6.9,"*",0,"E",NA,0,1,0,0,0,0,1,1.2,89.1
"2868","064580-99999","BEAUVECHAIN","BE","BELGIUM","BE","BEL","",50.759,4.768,112.77,19730101,20240909,2007-11-09,2007,11,9,313,4.6,24,2.1,24,1018.3,24,1002.7,24,15.8,24,6,24,9.8,17,7.3,"*",2.6,"*",14.99,"F",NA,0,1,0,0,0,0,0.7,0.8,83.8
"2869","064580-99999","BEAUVECHAIN","BE","BELGIUM","BE","BEL","",50.759,4.768,112.77,19730101,20240909,2007-11-10,2007,11,10,314,8.4,24,6.1,24,1016.9,24,1001.5,24,13.5,24,6,24,8.7,NA,11.3,NA,4.3,NA,1.52,"F",NA,0,1,0,0,0,0,0.9,1.1,85.4
"2870","064580-99999","BEAUVECHAIN","BE","BELGIUM","BE","BEL","",50.759,4.768,112.77,19730101,20240909,2007-11-11,2007,11,11,315,8.6,24,5.7,24,1012.7,24,997.4,24,20.6,24,6,24,9,11.8,11,NA,4,"*",4.06,"F",NA,0,1,0,0,0,0,0.9,1.1,82
"2871","064580-99999","BEAUVECHAIN","BE","BELGIUM","BE","BEL","",50.759,4.768,112.77,19730101,20240909,2007-11-12,2007,11,12,316,4.8,24,2.6,24,1021.4,24,1005.7,24,17.7,24,3.7,24,6.2,NA,8.3,NA,2.8,NA,0,"F",NA,0,1,0,0,0,0,0.7,0.9,85.7
"2872","064580-99999","BEAUVECHAIN","BE","BELGIUM","BE","BEL","",50.759,4.768,112.77,19730101,20240909,2007-11-13,2007,11,13,317,4.6,24,3.2,24,1011.5,22,996,22,9.5,24,4.7,23,7.2,NA,6.4,"*",2.9,"*",7.11,"E",NA,0,1,0,0,0,0,0.8,0.8,90.6
"2873","064580-99999","BEAUVECHAIN","BE","BELGIUM","BE","BEL","",50.759,4.768,112.77,19730101,20240909,2007-11-14,2007,11,14,318,3.2,24,0.2,24,1014.1,24,998.5,24,22.2,24,3.8,24,7,NA,6,"*",0.8,"*",2.03,"E",NA,0,1,0,0,0,0,0.6,0.8,80.7
"2874","064580-99999","BEAUVECHAIN","BE","BELGIUM","BE","BEL","",50.759,4.768,112.77,19730101,20240909,2007-11-15,2007,11,15,319,1.1,24,-1.7,24,1026.2,24,1010.3,24,21.6,24,2.3,24,5,NA,4,"*",-1,"*",0,"I",NA,0,0,0,0,0,0,0.5,0.7,81.6
"2875","064580-99999","BEAUVECHAIN","BE","BELGIUM","BE","BEL","",50.759,4.768,112.77,19730101,20240909,2007-11-16,2007,11,16,320,1.7,24,-2.3,24,1029.7,24,1013.7,24,17.1,24,2.1,24,3.6,NA,6,"*",-1,NA,0,"I",NA,0,0,0,0,0,0,0.5,0.7,74.8
"2876","064580-99999","BEAUVECHAIN","BE","BELGIUM","BE","BEL","",50.759,4.768,112.77,19730101,20240909,2007-11-17,2007,11,17,321,2.9,24,-0.9,24,1027.3,24,1011.4,24,11.4,24,2.3,24,4,NA,8,NA,0,"*",0,"I",NA,0,0,0,0,0,0,0.6,0.8,76.1
"2877","064580-99999","BEAUVECHAIN","BE","BELGIUM","BE","BEL","",50.759,4.768,112.77,19730101,20240909,2007-11-18,2007,11,18,322,3,24,0,24,1012.4,24,996.7,24,10.5,24,2.9,24,5.7,NA,7.2,NA,0,"*",0,"I",NA,0,0,0,0,0,0,0.6,0.8,80.7
"2878","064580-99999","BEAUVECHAIN","BE","BELGIUM","BE","BEL","",50.759,4.768,112.77,19730101,20240909,2007-11-19,2007,11,19,323,4.4,24,1.6,24,1007.1,24,991.6,24,10.1,24,3.8,24,7,NA,6.3,NA,1.9,NA,2.03,"E",NA,0,1,0,0,0,0,0.7,0.8,82
"2879","064580-99999","BEAUVECHAIN","BE","BELGIUM","BE","BEL","",50.759,4.768,112.77,19730101,20240909,2007-11-20,2007,11,20,324,8.7,24,4.8,24,1007.5,24,992.3,24,15,24,3.6,24,6.2,NA,12.1,"*",5.7,NA,5.08,"F",NA,0,1,0,0,0,0,0.9,1.1,76.5
"2880","064580-99999","BEAUVECHAIN","BE","BELGIUM","BE","BEL","",50.759,4.768,112.77,19730101,20240909,2007-11-21,2007,11,21,325,9.9,24,6.5,24,1005.4,24,990.3,24,17.7,24,4.7,24,8,NA,11.6,NA,7,"*",1.02,"F",NA,0,1,0,0,0,0,1,1.2,79.4
"2881","064580-99999","BEAUVECHAIN","BE","BELGIUM","BE","BEL","",50.759,4.768,112.77,19730101,20240909,2007-11-22,2007,11,22,326,9.3,24,6.7,24,1006.4,24,991.2,24,19.6,24,4.1,24,7,NA,13.1,NA,7,"*",0,"I",NA,0,0,0,0,0,0,1,1.2,83.8
"2882","064580-99999","BEAUVECHAIN","BE","BELGIUM","BE","BEL","",50.759,4.768,112.77,19730101,20240909,2007-11-23,2007,11,23,327,5.8,24,3.8,24,1016.7,24,1001.1,24,9.2,24,3.4,24,7,NA,8.5,NA,1.8,"*",1.02,"E",NA,0,1,0,0,0,0,0.8,0.9,87
"2883","064580-99999","BEAUVECHAIN","BE","BELGIUM","BE","BEL","",50.759,4.768,112.77,19730101,20240909,2007-11-24,2007,11,24,328,3.8,24,1.3,24,1025.1,24,1009.4,24,14.6,24,3.5,24,9.3,NA,7.4,NA,1,"*",NA,NA,NA,0,1,0,0,0,0,0.7,0.8,83.7
"2884","064580-99999","BEAUVECHAIN","BE","BELGIUM","BE","BEL","",50.759,4.768,112.77,19730101,20240909,2007-11-25,2007,11,25,329,6.1,20,3.7,20,1021.1,20,1005.5,20,14.2,20,5.2,20,8,NA,8.5,NA,4,"*",1.02,"E",NA,0,1,0,0,0,0,0.8,0.9,84.6
"2885","064580-99999","BEAUVECHAIN","BE","BELGIUM","BE","BEL","",50.759,4.768,112.77,19730101,20240909,2007-11-26,2007,11,26,330,4.8,24,3.1,24,1027.8,24,1012.1,24,14.2,24,2.9,24,5,NA,6.8,NA,3.5,NA,2.03,"F",NA,0,1,0,0,0,0,0.8,0.9,88.7
"2886","064580-99999","BEAUVECHAIN","BE","BELGIUM","BE","BEL","",50.759,4.768,112.77,19730101,20240909,2007-11-27,2007,11,27,331,5.1,24,4.3,24,1029.3,24,1013.6,24,2.9,24,2.1,24,3.1,NA,6.2,NA,4,"*",0,"F",NA,0,1,0,0,0,0,0.8,0.9,94.6
"2887","064580-99999","BEAUVECHAIN","BE","BELGIUM","BE","BEL","",50.759,4.768,112.77,19730101,20240909,2007-11-28,2007,11,28,332,4.4,24,1.1,24,1021.3,24,1005.6,24,10.9,24,4.1,24,7,NA,7.5,NA,2.7,NA,0,"I",NA,0,0,0,0,0,0,0.7,0.8,79.1
"2888","064580-99999","BEAUVECHAIN","BE","BELGIUM","BE","BEL","",50.759,4.768,112.77,19730101,20240909,2007-11-29,2007,11,29,333,4.7,24,2.8,24,1010,23,994.5,23,8.5,24,6.8,24,9.8,NA,6,"*",3,"*",2.03,"E",NA,0,1,0,0,0,0,0.7,0.9,87.5
"2889","064580-99999","BEAUVECHAIN","BE","BELGIUM","BE","BEL","",50.759,4.768,112.77,19730101,20240909,2007-11-30,2007,11,30,334,6.6,24,4.8,24,1009.8,24,994.4,24,10.3,24,6.6,24,10,NA,9,"*",3.7,NA,1.02,"E",NA,0,1,0,0,0,0,0.9,1,88.3
"2890","064580-99999","BEAUVECHAIN","BE","BELGIUM","BE","BEL","",50.759,4.768,112.77,19730101,20240909,2007-12-01,2007,12,1,335,8.4,24,5.1,24,1005.3,24,990,24,21.7,24,8.4,24,10.8,NA,10,NA,6.7,"*",8.89,"F",NA,0,1,0,0,0,0,0.9,1.1,79.7
"2891","064580-99999","BEAUVECHAIN","BE","BELGIUM","BE","BEL","",50.759,4.768,112.77,19730101,20240909,2007-12-02,2007,12,2,336,8.7,24,6,24,997.1,24,982,24,22.9,24,10.6,24,17,21.1,11,"*",6,"*",10.92,"F",NA,0,1,0,0,0,0,0.9,1.1,83.2
"2892","064580-99999","BEAUVECHAIN","BE","BELGIUM","BE","BEL","",50.759,4.768,112.77,19730101,20240909,2007-12-03,2007,12,3,337,7,24,3.3,24,998.2,24,983,24,20.6,24,7,24,10,14.4,8.5,NA,5,"*",7.11,"E",NA,0,1,0,0,0,0,0.8,1,77.3
"2893","064580-99999","BEAUVECHAIN","BE","BELGIUM","BE","BEL","",50.759,4.768,112.77,19730101,20240909,2007-12-04,2007,12,4,338,6.8,24,5,24,1015.8,24,1000.3,24,11.9,24,4.8,24,8,NA,10,"*",4.7,NA,5.08,"F",NA,0,1,0,0,0,0,0.9,1,88.3
"2894","064580-99999","BEAUVECHAIN","BE","BELGIUM","BE","BEL","",50.759,4.768,112.77,19730101,20240909,2007-12-05,2007,12,5,339,11,24,8.1,24,1014.1,24,998.9,24,15.6,24,8.8,24,11.3,NA,12.2,NA,7.6,NA,1.02,"F",NA,0,1,0,0,0,0,1.1,1.3,82.3
"2895","064580-99999","BEAUVECHAIN","BE","BELGIUM","BE","BEL","",50.759,4.768,112.77,19730101,20240909,2007-12-06,2007,12,6,340,10.3,24,8.4,24,1011.2,23,996,23,7.7,24,8.8,24,12,17,13.2,"*",8.4,NA,8.38,"F",NA,0,1,0,0,0,0,1.1,1.3,88
"2896","064580-99999","BEAUVECHAIN","BE","BELGIUM","BE","BEL","",50.759,4.768,112.77,19730101,20240909,2007-12-07,2007,12,7,341,9.5,24,5.8,24,999.8,24,984.8,24,20.8,24,8.4,24,14,21.6,13.1,"*",6,"*",12.95,"F",NA,0,1,0,0,0,0,0.9,1.2,77.7
"2897","064580-99999","BEAUVECHAIN","BE","BELGIUM","BE","BEL","",50.759,4.768,112.77,19730101,20240909,2007-12-08,2007,12,8,342,5.6,24,2.8,24,1003.5,24,988.1,24,21.4,23,7.6,24,13,17.5,9,"*",3.8,"*",3.05,"E",NA,0,1,0,0,0,0,0.7,0.9,82.2
"2898","064580-99999","BEAUVECHAIN","BE","BELGIUM","BE","BEL","",50.759,4.768,112.77,19730101,20240909,2007-12-09,2007,12,9,343,7.6,24,4.7,24,987.9,24,972.9,24,23.7,24,8,24,11,NA,9.4,"*",4.8,NA,1.78,"F",NA,0,1,0,0,0,0,0.9,1,81.9
"2899","064580-99999","BEAUVECHAIN","BE","BELGIUM","BE","BEL","",50.759,4.768,112.77,19730101,20240909,2007-12-10,2007,12,10,344,6.6,24,5.2,24,1001,24,985.7,24,8.4,24,4.5,24,7.7,13.4,7.5,NA,5.8,"*",9.91,"F",NA,0,1,0,0,0,0,0.9,1,90.8
"2900","064580-99999","BEAUVECHAIN","BE","BELGIUM","BE","BEL","",50.759,4.768,112.77,19730101,20240909,2007-12-11,2007,12,11,345,4.9,24,2.2,24,1025.9,24,1010.2,24,16.6,24,3,24,5.1,NA,7.1,NA,2,"*",3.05,"F",NA,0,1,0,1,0,0,0.7,0.9,82.7
"2901","064580-99999","BEAUVECHAIN","BE","BELGIUM","BE","BEL","",50.759,4.768,112.77,19730101,20240909,2007-12-12,2007,12,12,346,1.9,24,1.3,24,1037.3,24,1021.2,24,4.5,24,0.5,24,3,NA,3.1,"*",0,"*",NA,NA,NA,1,1,0,0,0,0,0.7,0.7,95.8
"2902","064580-99999","BEAUVECHAIN","BE","BELGIUM","BE","BEL","",50.759,4.768,112.77,19730101,20240909,2007-12-13,2007,12,13,347,2,24,1.4,24,1041.3,24,1025.2,24,1.8,24,2.2,24,3.6,NA,3,"*",0.5,"*",0,"I",NA,1,0,0,0,0,0,0.7,0.7,95.8
"2903","064580-99999","BEAUVECHAIN","BE","BELGIUM","BE","BEL","",50.759,4.768,112.77,19730101,20240909,2007-12-14,2007,12,14,348,0.7,24,-1.7,24,1039.2,23,1023,23,9.5,24,2.4,24,5.7,NA,2,"*",-1,"*",NA,NA,NA,1,0,1,0,0,0,0.5,0.6,84
"2904","064580-99999","BEAUVECHAIN","BE","BELGIUM","BE","BEL","",50.759,4.768,112.77,19730101,20240909,2007-12-15,2007,12,15,349,0.6,24,-3.9,24,1036,24,1019.9,24,25.9,24,3.4,24,7.2,NA,2.3,NA,-1,"*",0,"I",NA,0,0,0,0,0,0,0.5,0.6,71.8
"2905","064580-99999","BEAUVECHAIN","BE","BELGIUM","BE","BEL","",50.759,4.768,112.77,19730101,20240909,2007-12-16,2007,12,16,350,-1.3,24,-4.2,24,1037.1,24,1020.9,24,12.9,24,0.2,24,3,NA,2,NA,-3.4,"*",0,"I",NA,0,0,0,0,0,0,0.4,0.6,80.6
"2906","064580-99999","BEAUVECHAIN","BE","BELGIUM","BE","BEL","",50.759,4.768,112.77,19730101,20240909,2007-12-17,2007,12,17,351,-1.6,24,-4.3,24,1034.7,24,1018.4,24,7.9,24,3.4,24,7,NA,1,"*",-3.3,NA,0,"I",NA,0,0,0,0,0,0,0.4,0.5,81.8
"2907","064580-99999","BEAUVECHAIN","BE","BELGIUM","BE","BEL","",50.759,4.768,112.77,19730101,20240909,2007-12-18,2007,12,18,352,-2,24,-4.1,24,1036.1,24,1019.8,24,5.6,23,2.1,24,5.1,NA,1.2,NA,-4.1,"*",0,"I",NA,0,0,0,0,0,0,0.5,0.5,85.5
"2908","064580-99999","BEAUVECHAIN","BE","BELGIUM","BE","BEL","",50.759,4.768,112.77,19730101,20240909,2007-12-19,2007,12,19,353,-1.2,24,-3.6,24,1038.6,24,1022.3,24,4,24,1.1,24,4,NA,3.5,NA,-4.2,NA,0,"I",NA,0,0,0,0,0,0,0.5,0.6,83.7
"2909","064580-99999","BEAUVECHAIN","BE","BELGIUM","BE","BEL","",50.759,4.768,112.77,19730101,20240909,2007-12-20,2007,12,20,354,-3.6,24,-4.1,24,1036.7,17,1020.3,17,0.5,24,1.9,24,3.1,NA,-1.9,"*",-5,"*",NA,NA,NA,1,0,1,0,0,0,0.5,0.5,96.3
"2910","064580-99999","BEAUVECHAIN","BE","BELGIUM","BE","BEL","",50.759,4.768,112.77,19730101,20240909,2007-12-21,2007,12,21,355,-3.8,24,-4.7,24,1028.9,19,1012.6,19,1.6,24,0.8,24,1.5,NA,0,"*",-6.3,"*",0,"I",NA,1,0,0,0,0,0,0.4,0.5,93.5
"2911","064580-99999","BEAUVECHAIN","BE","BELGIUM","BE","BEL","",50.759,4.768,112.77,19730101,20240909,2007-12-22,2007,12,22,356,2.2,24,-4.1,24,1026.6,24,1010.7,24,14,24,1.2,24,3.1,NA,7.3,NA,-4.5,NA,0,"I",NA,0,0,0,0,0,0,0.5,0.7,63.1
"2912","064580-99999","BEAUVECHAIN","BE","BELGIUM","BE","BEL","",50.759,4.768,112.77,19730101,20240909,2007-12-23,2007,12,23,357,2.1,24,-1.3,24,1029.2,22,1013.2,22,7.9,24,2.1,24,4.6,NA,4,"*",0,NA,0,"I",NA,1,0,0,0,0,0,0.6,0.7,78.2
"2913","064580-99999","BEAUVECHAIN","BE","BELGIUM","BE","BEL","",50.759,4.768,112.77,19730101,20240909,2007-12-24,2007,12,24,358,3.2,22,0.4,22,1027.9,19,1012,19,6,21,3,22,6.7,NA,6.5,"*",0,"*",0,"I",NA,0,0,0,0,0,0,0.6,0.8,81.9
"2914","064580-99999","BEAUVECHAIN","BE","BELGIUM","BE","BEL","",50.759,4.768,112.77,19730101,20240909,2007-12-25,2007,12,25,359,3.3,24,-2.2,24,1020.1,24,1004.3,24,15.4,24,5.6,24,7.7,NA,5,"*",1.5,NA,0,"I",NA,0,0,0,0,0,0,0.5,0.8,67.2
"2915","064580-99999","BEAUVECHAIN","BE","BELGIUM","BE","BEL","",50.759,4.768,112.77,19730101,20240909,2007-12-26,2007,12,26,360,2.9,24,1.7,24,1026.3,24,1010.4,24,4.2,24,4.3,24,5.7,NA,4.1,NA,1.8,"*",0,"E",NA,1,1,0,0,0,0,0.7,0.8,91.8
"2916","064580-99999","BEAUVECHAIN","BE","BELGIUM","BE","BEL","",50.759,4.768,112.77,19730101,20240909,2007-12-27,2007,12,27,361,3.8,24,2.4,24,1031.5,24,1015.7,24,9.8,24,6.2,24,9,NA,6,"*",1.6,NA,0,"I",NA,0,0,0,0,0,0,0.7,0.8,90.6
"2917","064580-99999","BEAUVECHAIN","BE","BELGIUM","BE","BEL","",50.759,4.768,112.77,19730101,20240909,2007-12-28,2007,12,28,362,5.6,24,3.4,24,1026.4,24,1010.7,24,18.5,24,7,24,10,NA,8,"*",2,"*",0,"I",NA,0,0,0,0,0,0,0.8,0.9,85.7
"2918","064580-99999","BEAUVECHAIN","BE","BELGIUM","BE","BEL","",50.759,4.768,112.77,19730101,20240909,2007-12-29,2007,12,29,363,5.4,24,3.2,24,1016,24,1000.5,24,20.9,24,7.9,24,12,12.3,8,NA,2.1,NA,5.59,"F",NA,0,1,0,0,0,0,0.8,0.9,85.7
"2919","064580-99999","BEAUVECHAIN","BE","BELGIUM","BE","BEL","",50.759,4.768,112.77,19730101,20240909,2007-12-30,2007,12,30,364,5.6,24,3.2,24,1024,24,1008.4,24,16.4,24,4.1,24,8.2,NA,7.1,NA,4.6,"*",2.03,"E",NA,0,1,0,0,0,0,0.8,0.9,84.5
"2920","064580-99999","BEAUVECHAIN","BE","BELGIUM","BE","BEL","",50.759,4.768,112.77,19730101,20240909,2007-12-31,2007,12,31,365,4.8,24,3.3,24,1029.4,24,1013.6,24,8,24,1.8,24,3,NA,6,"*",4,"*",0,"E",NA,0,1,0,0,0,0,0.8,0.9,90
"2921","064580-99999","BEAUVECHAIN","BE","BELGIUM","BE","BEL","",50.759,4.768,112.77,19730101,20240909,2008-01-01,2008,1,1,1,3.2,24,2.4,24,1024.9,20,1009.1,20,2.4,24,2.1,24,4,NA,5,"*",-0.1,"*",0,"I",NA,1,0,0,0,0,0,0.7,0.8,94.5
"2922","064580-99999","BEAUVECHAIN","BE","BELGIUM","BE","BEL","",50.759,4.768,112.77,19730101,20240909,2008-01-02,2008,1,2,2,-1.5,24,-3.6,24,1018.4,24,1002.4,24,9.3,24,3.9,24,6,NA,0.3,NA,-3.2,"*",0,"I",NA,1,0,0,0,0,0,0.5,0.5,85.6
"2923","064580-99999","BEAUVECHAIN","BE","BELGIUM","BE","BEL","",50.759,4.768,112.77,19730101,20240909,2008-01-03,2008,1,3,3,-0.6,24,-2.9,24,1005.5,24,989.7,24,9,24,4.1,24,5.1,NA,1,"*",-3.3,NA,1.02,"E",NA,0,1,1,0,0,0,0.5,0.6,84.4
"2924","064580-99999","BEAUVECHAIN","BE","BELGIUM","BE","BEL","",50.759,4.768,112.77,19730101,20240909,2008-01-04,2008,1,4,4,4.6,24,0.1,24,1006.9,24,991.4,24,16.6,24,4.3,24,8.7,NA,8,"*",0.3,NA,NA,NA,NA,0,1,0,0,0,0,0.6,0.8,72.6
"2925","064580-99999","BEAUVECHAIN","BE","BELGIUM","BE","BEL","",50.759,4.768,112.77,19730101,20240909,2008-01-05,2008,1,5,5,6.8,24,4.6,24,1002.9,24,987.6,24,18.7,24,6.9,24,9.3,NA,8.1,"*",4,"*",12.95,"F",NA,0,1,0,0,0,0,0.8,1,85.9
"2926","064580-99999","BEAUVECHAIN","BE","BELGIUM","BE","BEL","",50.759,4.768,112.77,19730101,20240909,2008-01-06,2008,1,6,6,5.3,24,2.9,24,1011.2,24,995.7,24,17.5,24,4.4,24,6.2,NA,7.1,NA,3.7,"*",2.03,"E",NA,0,1,0,0,0,0,0.8,0.9,84.5
"2927","064580-99999","BEAUVECHAIN","BE","BELGIUM","BE","BEL","",50.759,4.768,112.77,19730101,20240909,2008-01-07,2008,1,7,7,7.7,24,3.9,24,1011.8,24,996.5,24,13,24,8.6,24,12,18.5,9.4,NA,3.7,NA,3.05,"F",NA,0,1,0,0,0,0,0.8,1,76.9
"2928","064580-99999","BEAUVECHAIN","BE","BELGIUM","BE","BEL","",50.759,4.768,112.77,19730101,20240909,2008-01-08,2008,1,8,8,5.7,24,3.4,24,1018.9,24,1003.3,24,13,24,6.2,24,9,NA,8.2,NA,3.9,"*",0,"E",NA,0,0,0,0,0,0,0.8,0.9,85.2
"2929","064580-99999","BEAUVECHAIN","BE","BELGIUM","BE","BEL","",50.759,4.768,112.77,19730101,20240909,2008-01-09,2008,1,9,9,6.1,24,3.5,24,1013.5,24,998,24,19.3,24,6.3,24,9,NA,7.4,NA,4.9,NA,4.06,"F",NA,0,1,0,0,0,0,0.8,0.9,83.4
"2930","064580-99999","BEAUVECHAIN","BE","BELGIUM","BE","BEL","",50.759,4.768,112.77,19730101,20240909,2008-01-10,2008,1,10,10,7.4,24,4.1,24,1011.5,24,996.1,24,23.7,24,8.7,24,10.8,NA,10.4,"*",4.5,NA,0,"B",NA,0,1,0,0,0,0,0.8,1,79.6
